stop_code,total_departures,avg_departure_delay_sec,pct_delayed_departures
LEIM,1859,16.2,53.31
GUTS,1512,15.89,53.24
HOEL,3680,15.75,53.23
BIRM,553,8.11,53.16
SALE,3572,13.41,53.14
WEIH,1677,11.23,53.13
HEER,1848,15.6,53.03
LUCH,2642,14.38,52.91
ALTR,2634,15.26,52.89
UNTM,3437,15.0,52.87
LUEG,1847,16.64,52.73
SONU,552,8.23,52.72
KAES,1859,15.72,52.66
BURG,1851,27.53,52.62
DARI07,1075,4.25,52.56
SIEM,1818,15.17,52.42
ZOER,3493,13.67,52.33
BOEO,5358,12.16,52.2
MICA,3812,15.64,52.18
ALBP,8175,13.48,52.15
FREI,1926,12.95,52.13
HEDW,1853,24.08,52.13
STAM,5889,14.08,52.13
DANG,1142,11.48,52.1
GRUN,3022,11.44,52.08
BRIS,4941,12.04,52.03
GGLA07,4511,12.53,51.98
RINW07,1075,3.77,51.91
MOTT,1948,11.7,51.9
ZFER,2954,14.49,51.86
WETL,1853,25.55,51.81
WAIS,1879,7.88,51.68
HOLZ,984,7.38,51.63
AUSS,1858,13.13,51.56
BINZ,769,9.02,51.5
RUEB,600,11.06,51.5
STBU,985,9.61,51.37
KOES,1859,15.15,51.32
DEP1,115,-79.13,51.3
WALD,5599,13.34,51.28
ROSW,1908,14.46,51.21
LETG,1926,12.63,51.09
WNEU07,1075,3.96,51.07
HEUR,4431,11.0,51.03
KREU,5554,22.09,50.97
TUEF,6186,13.2,50.97
FBRU,987,10.34,50.96
WILD,5998,13.04,50.95
LEHE,4058,9.43,50.94
SIHP,5721,17.49,50.83
ULAN,1311,6.03,50.8
HERM,949,6.16,50.79
HARP,8334,14.12,50.6
WEIK,605,5.0,50.58
WOLP,2170,7.57,50.37
BELV,600,9.94,50.33
FROE,6011,13.98,50.27
FSTR,1315,5.01,50.27
REHA,924,10.44,50.22
BERN,3573,10.56,50.21
HOFA01,662,6.71,50.15
GRUB,381,5.96,50.13
TALW,3718,9.76,50.03
BILO,2028,10.78,50.0
HOTT,1881,1.69,49.87
BASL,1687,10.7,49.79
REBE,4061,8.16,49.77
LANH,600,7.86,49.67
SUKK,1176,6.46,49.66
SWEG,1950,10.93,49.59
WGLA07,1075,2.6,49.49
RSAU,599,7.77,49.42
AKRE,5226,9.06,49.41
HINT,913,13.93,49.4
MEIE,6370,10.52,49.36
SCHT,4437,9.67,49.36
ALBR,2831,10.98,49.31
FELS,1883,12.69,49.28
HOES,6011,14.26,49.26
BSRU,600,11.76,49.17
HELV,3767,11.94,49.14
KALK,5778,10.39,49.13
SPYR,1838,16.38,49.13
UETL,3454,15.09,49.02
KEMP,4060,7.64,48.97
NUER,1838,14.61,48.97
EWYS,14535,8.21,48.94
SCHZ,1840,13.85,48.91
SBAU,8153,8.05,48.85
WEID,600,8.54,48.83
ENGV,1785,12.18,48.8
BANL,3842,11.88,48.78
BECK,3694,11.63,48.78
BRUM,2163,10.37,48.59
LOEW,6536,13.47,48.53
GUET,3842,11.87,48.52
LAND,1176,4.66,48.3
NEUM,3677,12.65,48.25
HSBB,6312,9.63,48.24
ROTE,1205,6.72,48.22
SEER,1205,7.62,48.05
STAD,1205,9.14,48.05
AHOR,662,5.12,48.04
WERE,3735,8.15,47.98
MIBU,9430,6.76,47.84
LAUI,1903,9.58,47.71
HIRS,3572,7.8,47.65
VOGE,1837,13.94,47.58
BRUG,1144,5.54,47.55
HUEG,2163,8.76,47.25
WART,3901,3.16,47.17
KRON,3696,9.34,47.1
KLOB,1820,11.92,47.09
BRUN,2030,8.4,46.95
